Pais,Provincias,Departamento,Id_Departamento
REPÚBLICA ARGENTINA,BUENOS AIRES,25 DE MAYO,1
REPÚBLICA ARGENTINA,BUENOS AIRES,9 DE JULIO,2
REPÚBLICA ARGENTINA,BUENOS AIRES,ADOLFO ALSINA,3
REPÚBLICA ARGENTINA,BUENOS AIRES,ADOLFO GONZALES CHAVES,4
REPÚBLICA ARGENTINA,BUENOS AIRES,ALBERTI,5
REPÚBLICA ARGENTINA,BUENOS AIRES,ALMIRANTE BROWN,6
REPÚBLICA ARGENTINA,BUENOS AIRES,ARRECIFES,7
REPÚBLICA ARGENTINA,BUENOS AIRES,AVELLANEDA,8
REPÚBLICA ARGENTINA,BUENOS AIRES,AYACUCHO,9
REPÚBLICA ARGENTINA,BUENOS AIRES,AZUL,10
REPÚBLICA ARGENTINA,BUENOS AIRES,BAHIA BLANCA,11
REPÚBLICA ARGENTINA,BUENOS AIRES,BALCARCE,12
REPÚBLICA ARGENTINA,BUENOS AIRES,BARADERO,13
REPÚBLICA ARGENTINA,BUENOS AIRES,BENITO JUAREZ,14
REPÚBLICA ARGENTINA,BUENOS AIRES,BERAZATEGUI,15
REPÚBLICA ARGENTINA,BUENOS AIRES,BERISSO,16
REPÚBLICA ARGENTINA,BUENOS AIRES,BOLIVAR,17
REPÚBLICA ARGENTINA,BUENOS AIRES,BRAGADO,18
REPÚBLICA ARGENTINA,BUENOS AIRES,BRANDSEN,19
REPÚBLICA ARGENTINA,BUENOS AIRES,CAMPANA,20
REPÚBLICA ARGENTINA,BUENOS AIRES,CANUELAS,21
REPÚBLICA ARGENTINA,BUENOS AIRES,CAPITAN SARMIENTO,22
REPÚBLICA ARGENTINA,BUENOS AIRES,CARLOS CASARES,23
REPÚBLICA ARGENTINA,BUENOS AIRES,CARLOS TEJEDOR,24
REPÚBLICA ARGENTINA,BUENOS AIRES,CARMEN DE ARECO,25
REPÚBLICA ARGENTINA,BUENOS AIRES,CASTELLI,26
REPÚBLICA ARGENTINA,BUENOS AIRES,CHACABUCO,27
REPÚBLICA ARGENTINA,BUENOS AIRES,CHASCOMUS,28
REPÚBLICA ARGENTINA,BUENOS AIRES,CHIVILCOY,29
REPÚBLICA ARGENTINA,BUENOS AIRES,COLON,30
REPÚBLICA ARGENTINA,BUENOS AIRES,CORONEL DE MARINA L ROSALES,31
REPÚBLICA ARGENTINA,BUENOS AIRES,CORONEL DORREGO,32
REPÚBLICA ARGENTINA,BUENOS AIRES,CORONEL PRINGLES,33
REPÚBLICA ARGENTINA,BUENOS AIRES,CORONEL SUAREZ,34
REPÚBLICA ARGENTINA,BUENOS AIRES,DAIREAUX,35
REPÚBLICA ARGENTINA,BUENOS AIRES,DOLORES,36
REPÚBLICA ARGENTINA,BUENOS AIRES,ESCOBAR,37
REPÚBLICA ARGENTINA,BUENOS AIRES,ESTEBAN ECHEVERRIA,38
REPÚBLICA ARGENTINA,BUENOS AIRES,EXALTACION DE LA CRUZ,39
REPÚBLICA ARGENTINA,BUENOS AIRES,FLORENCIO VARELA,40
REPÚBLICA ARGENTINA,BUENOS AIRES,FLORENTINO AMEGHINO,41
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL ALVARADO,42
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL ALVEAR,43
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL ARENALES,44
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL BELGRANO,45
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL GUIDO,46
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL JUAN MADARIAGA,47
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL LA MADRID,48
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL LAS HERAS,49
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL LAVALLE,50
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL PAZ,51
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL PINTO,52
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL PUEYRREDON,53
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL RODRIGUEZ,54
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL SAN MARTIN,55
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL VIAMONTE,56
REPÚBLICA ARGENTINA,BUENOS AIRES,GENERAL VILLEGAS,57
REPÚBLICA ARGENTINA,BUENOS AIRES,GUAMINI,58
REPÚBLICA ARGENTINA,BUENOS AIRES,HIPOLITO YRIGOYEN,59
REPÚBLICA ARGENTINA,BUENOS AIRES,JUNIN,60
REPÚBLICA ARGENTINA,BUENOS AIRES,LA MATANZA,61
REPÚBLICA ARGENTINA,BUENOS AIRES,LA PLATA,62
REPÚBLICA ARGENTINA,BUENOS AIRES,LANUS,63
REPÚBLICA ARGENTINA,BUENOS AIRES,LAPRIDA,64
REPÚBLICA ARGENTINA,BUENOS AIRES,LAS FLORES,65
REPÚBLICA ARGENTINA,BUENOS AIRES,LEANDRO N. ALEM,66
REPÚBLICA ARGENTINA,BUENOS AIRES,LINCOLN,67
REPÚBLICA ARGENTINA,BUENOS AIRES,LOBERIA,68
REPÚBLICA ARGENTINA,BUENOS AIRES,LOBOS,69
REPÚBLICA ARGENTINA,BUENOS AIRES,LUJAN,70
REPÚBLICA ARGENTINA,BUENOS AIRES,MAGDALENA,71
REPÚBLICA ARGENTINA,BUENOS AIRES,MAIPU,72
REPÚBLICA ARGENTINA,BUENOS AIRES,MAR CHIQUITA,73
REPÚBLICA ARGENTINA,BUENOS AIRES,MARCOS PAZ,74
REPÚBLICA ARGENTINA,BUENOS AIRES,MERCEDES,75
REPÚBLICA ARGENTINA,BUENOS AIRES,MERLO,76
REPÚBLICA ARGENTINA,BUENOS AIRES,MONTE,77
REPÚBLICA ARGENTINA,BUENOS AIRES,MORENO,78
REPÚBLICA ARGENTINA,BUENOS AIRES,MORON,79
REPÚBLICA ARGENTINA,BUENOS AIRES,NAVARRO,80
REPÚBLICA ARGENTINA,BUENOS AIRES,NECOCHEA,81
REPÚBLICA ARGENTINA,BUENOS AIRES,OLAVARRIA,82
REPÚBLICA ARGENTINA,BUENOS AIRES,PATAGONES,83
REPÚBLICA ARGENTINA,BUENOS AIRES,PEHUAJO,84
REPÚBLICA ARGENTINA,BUENOS AIRES,PELLEGRINI,85
REPÚBLICA ARGENTINA,BUENOS AIRES,PERGAMINO,86
REPÚBLICA ARGENTINA,BUENOS AIRES,PILA,87
REPÚBLICA ARGENTINA,BUENOS AIRES,PILAR,88
REPÚBLICA ARGENTINA,BUENOS AIRES,PUAN,89
REPÚBLICA ARGENTINA,BUENOS AIRES,PUNTA INDIO,90
REPÚBLICA ARGENTINA,BUENOS AIRES,QUILMES,91
REPÚBLICA ARGENTINA,BUENOS AIRES,RAMALLO,92
