Id_Departamento,Id_Cultivo,Id_Campaña,Sup_Sembrada_(Ha),Sup_Cosechada_(Ha),Producción_(Tn),Rendimiento_(Kg/Ha),Precio_Dolares,Rentabilidad_Ha
1,14,2002,3500,3350,6365,1900,162.72,309168.0
2,14,2002,2000,2000,5400,2700,162.72,439344.0
3,14,2002,53700,53700,94070,1752,162.72,285085.44
4,14,2002,59000,58400,78840,1350,162.72,219672.0
5,14,2002,400,400,800,2000,162.72,325440.0
7,14,2002,500,500,1300,2600,162.72,423072.0
9,14,2002,3600,3140,5024,1600,162.72,260352.0
10,14,2002,16000,15300,30600,2000,162.72,325440.0
11,14,2002,3000,2000,1500,750,162.72,122040.0
12,14,2002,29000,28150,56300,2000,162.72,325440.0
13,14,2002,500,500,1000,2000,162.72,325440.0
14,14,2002,17000,16300,30970,1900,162.72,309168.0
17,14,2002,2000,1950,3900,2000,162.72,325440.0
18,14,2002,30,30,60,2000,162.72,325440.0
21,14,2002,500,500,1000,2000,162.72,325440.0
22,14,2002,600,600,1380,2300,162.72,374256.0
23,14,2002,3500,3500,8050,2300,162.72,374256.0
24,14,2002,2500,2500,5750,2300,162.72,374256.0
25,14,2002,500,500,900,1800,162.72,292896.0
26,14,2002,1500,1400,2100,1500,162.72,244080.0
27,14,2002,400,400,800,2000,162.72,325440.0
28,14,2002,640,560,1008,1800,162.72,292896.0
29,14,2002,500,500,1000,2000,162.72,325440.0
30,14,2002,200,200,540,2700,162.72,439344.0
31,14,2002,1500,1200,1140,950,162.72,154584.0
32,14,2002,38000,37600,48880,1300,162.72,211536.0
33,14,2002,55000,54400,73440,1350,162.72,219672.0
34,14,2002,41000,41000,77900,1900,162.72,309168.0
35,14,2002,15000,14500,33350,2300,162.72,374256.0
36,14,2002,1500,1400,2100,1500,162.72,244080.0
39,14,2002,200,200,400,2000,162.72,325440.0
42,14,2002,17000,16400,32800,2000,162.72,325440.0
43,14,2002,1000,950,1995,2100,162.72,341712.0
45,14,2002,1000,750,1350,1800,162.72,292896.0
46,14,2002,300,280,420,1500,162.72,244080.0
47,14,2002,4000,3750,6750,1800,162.72,292896.0
48,14,2002,10500,10500,19950,1900,162.72,309168.0
49,14,2002,200,200,360,1800,162.72,292896.0
50,14,2002,300,270,432,1600,162.72,260352.0
52,14,2002,2000,1990,4975,2500,162.72,406800.0
53,14,2002,6500,6200,12400,2000,162.72,325440.0
54,14,2002,100,100,180,1800,162.72,292896.0
57,14,2002,20000,19600,47040,2400,162.72,390528.0
58,14,2002,37100,37100,72520,1955,162.72,318117.6
59,14,2002,600,600,1380,2300,162.72,374256.0
60,14,2002,500,500,1000,2000,162.72,325440.0
64,14,2002,6500,6400,8320,1300,162.72,211536.0
65,14,2002,960,960,1824,1900,162.72,309168.0
66,14,2002,200,190,532,2800,162.72,455616.0
68,14,2002,61000,57000,102600,1800,162.72,292896.0
69,14,2002,1650,1650,2970,1800,162.72,292896.0
70,14,2002,800,800,1440,1800,162.72,292896.0
72,14,2002,3000,2700,4590,1700,162.72,276624.0
73,14,2002,7000,6400,10240,1600,162.72,260352.0
74,14,2002,200,200,360,1800,162.72,292896.0
75,14,2002,1700,1700,3400,2000,162.72,325440.0
77,14,2002,470,380,646,1700,162.72,276624.0
80,14,2002,1570,1570,2826,1800,162.72,292896.0
81,14,2002,132000,130700,215655,1650,162.72,268488.0
82,14,2002,12000,11500,25300,2200,162.72,357984.0
83,14,2002,6000,6000,14280,2380,162.72,387273.6
84,14,2002,9800,9800,24500,2500,162.72,406800.0
85,14,2002,10900,10900,23080,2117,162.72,344478.24
86,14,2002,800,800,2000,2500,162.72,406800.0
88,14,2002,200,200,360,1800,162.72,292896.0
89,14,2002,10500,10500,13650,1300,162.72,211536.0
92,14,2002,200,200,540,2700,162.72,439344.0
93,14,2002,6500,5900,10030,1700,162.72,276624.0
94,14,2002,12600,12600,34020,2700,162.72,439344.0
95,14,2002,200,200,440,2200,162.72,357984.0
96,14,2002,1800,1800,3420,1900,162.72,309168.0
97,14,2002,28000,28000,47600,1700,162.72,276624.0
98,14,2002,2600,2500,4750,1900,162.72,309168.0
99,14,2002,5000,5000,8800,1760,162.72,286387.2
100,14,2002,400,400,1040,2600,162.72,423072.0
101,14,2002,500,500,1000,2000,162.72,325440.0
102,14,2002,1200,1200,2880,2400,162.72,390528.0
103,14,2002,71000,70300,87875,1250,162.72,203400.0
106,14,2002,200,200,500,2500,162.72,406800.0
107,14,2002,400,400,680,1700,162.72,276624.0
110,14,2002,800,800,1600,2000,162.72,325440.0
111,14,2002,40000,38000,76000,2000,162.72,325440.0
112,14,2002,1500,1500,3300,2200,162.72,357984.0
114,14,2002,7500,7500,11250,1500,162.72,244080.0
115,14,2002,20700,20700,53820,2600,162.72,423072.0
116,14,2002,141000,139600,230340,1650,162.72,268488.0
118,14,2002,5300,5300,10360,1955,162.72,318117.6
119,14,2002,5500,5500,13200,2400,162.72,390528.0
120,14,2002,400,400,720,1800,162.72,292896.0
139,14,2002,20000,20000,40000,2000,162.72,325440.0
140,14,2002,15000,15000,30000,2000,162.72,325440.0
141,14,2002,1500,1500,2700,1800,162.72,292896.0
142,14,2002,12000,12000,25200,2100,162.72,341712.0
143,14,2002,2700,2700,5130,1900,162.72,309168.0
145,14,2002,21500,21500,45150,2100,162.72,341712.0
146,14,2002,10000,10000,20000,2000,162.72,325440.0
147,14,2002,8000,8000,15200,1900,162.72,309168.0
148,14,2002,15000,15000,30000,2000,162.72,325440.0
149,14,2002,300,300,540,1800,162.72,292896.0
151,14,2002,10000,10000,20000,2000,162.72,325440.0
152,14,2002,300,300,510,1700,162.72,276624.0
153,14,2002,2500,2500,4500,1800,162.72,292896.0
154,14,2002,8000,8000,13600,1700,162.72,276624.0
155,14,2002,13000,13000,26000,2000,162.72,325440.0
156,14,2002,8000,8000,16000,2000,162.72,325440.0
157,14,2002,500,500,800,1600,162.72,260352.0
158,14,2002,7000,7000,14000,2000,162.72,325440.0
159,14,2002,500,500,900,1800,162.72,292896.0
160,14,2002,2200,2200,4180,1900,162.72,309168.0
161,14,2002,2000,2000,4000,2000,162.72,325440.0
182,14,2002,108000,108000,259200,2400,162.72,390528.0
183,14,2002,780,780,1872,2400,162.72,390528.0
185,14,2002,19845,19845,43659,2200,162.72,357984.0
186,14,2002,3380,3380,8112,2400,162.72,390528.0
189,14,2002,65000,65000,156000,2400,162.72,390528.0
191,14,2002,45000,39600,87120,2200,162.72,357984.0
192,14,2002,250,250,500,2000,162.72,325440.0
194,14,2002,350,350,875,2500,162.72,406800.0
197,14,2002,800,800,1680,2100,162.72,341712.0
201,14,2002,370,370,888,2400,162.72,390528.0
204,14,2002,5200,5200,12480,2400,162.72,390528.0
231,14,2002,1000,800,960,1200,162.72,195264.0
232,14,2002,1800,1800,3240,1800,162.72,292896.0
233,14,2002,2900,2900,6670,2300,162.72,374256.0
234,14,2002,200,200,360,1800,162.72,292896.0
235,14,2002,400,400,720,1800,162.72,292896.0
236,14,2002,300,300,510,1700,162.72,276624.0
237,14,2002,3500,3250,5200,1600,162.72,260352.0
238,14,2002,6000,5000,7000,1400,162.72,227808.0
239,14,2002,3700,3700,7400,2000,162.72,325440.0
240,14,2002,1000,1000,1600,1600,162.72,260352.0
241,14,2002,8200,8200,18040,2200,162.72,357984.0
244,14,2002,2300,2000,3200,1600,162.72,260352.0
245,14,2002,1700,1700,2210,1300,162.72,211536.0
246,14,2002,800,800,1600,2000,162.72,325440.0
247,14,2002,1700,1400,2100,1500,162.72,244080.0
256,14,2002,120,120,216,1800,162.72,292896.0
274,14,2002,34500,34400,60200,1750,162.72,284760.0
276,14,2002,32000,31920,54264,1700,162.72,276624.0
277,14,2002,53700,53630,96534,1800,162.72,292896.0
279,14,2002,18200,17800,41000,2303,162.72,374744.16
280,14,2002,39700,39300,90400,2300,162.72,374256.0
282,14,2002,16650,16580,26527,1600,162.72,260352.0
283,14,2002,50,50,75,1500,162.72,244080.0
287,14,2002,16500,16200,38900,2401,162.72,390690.72
289,14,2002,37000,36500,87600,2400,162.72,390528.0
290,14,2002,33000,32800,75400,2299,162.72,374093.27999999997
291,14,2002,33900,33500,80400,2400,162.72,390528.0
293,14,2002,17100,17000,27200,1600,162.72,260352.0
294,14,2002,7000,6900,15900,2304,162.72,374906.88
295,14,2002,6000,5920,8880,1500,162.72,244080.0
431,14,2002,36000,36000,82800,2300,162.72,374256.0
440,14,2002,7000,7000,11200,1600,162.72,260352.0
441,14,2002,750,750,1500,2000,162.72,325440.0
443,14,2002,1300,1300,2990,2300,162.72,374256.0
446,14,2002,10500,10500,26250,2500,162.72,406800.0
447,14,2002,50000,45500,68250,1500,162.72,244080.0
448,14,2002,1850,1850,3700,2000,162.72,325440.0
449,14,2002,5500,5500,12100,2200,162.72,357984.0
450,14,2002,4500,4500,9450,2100,162.72,341712.0
451,14,2002,50,50,90,1800,162.72,292896.0
452,14,2002,10000,10000,21000,2100,162.72,341712.0
453,14,2002,4500,4500,6750,1500,162.72,244080.0
454,14,2002,5400,5400,10800,2000,162.72,325440.0
455,14,2002,4700,4700,10340,2200,162.72,357984.0
457,14,2002,8000,8000,16000,2000,162.72,325440.0
459,14,2002,6000,5500,7700,1400,162.72,227808.0
460,14,2002,1500,1500,2400,1600,162.72,260352.0
461,14,2002,7000,7000,14000,2000,162.72,325440.0
465,14,2002,2000,2000,3400,1700,162.72,276624.0
470,14,2002,5000,5000,9000,1800,162.72,292896.0
473,14,2002,4000,4000,6400,1600,162.72,260352.0
476,14,2002,8000,8000,16000,2000,162.72,325440.0
481,14,2002,2000,2000,4200,2100,162.72,341712.0
1,14,2003,2400,2400,6200,2583,169.77,438515.91000000003
2,14,2003,2500,2500,5000,2000,169.77,339540.0
3,14,2003,57000,57000,101000,1772,169.77,300832.44
4,14,2003,62000,61400,61000,993,169.77,168581.61000000002
5,14,2003,550,550,1375,2500,169.77,424425.0
7,14,2003,600,600,1020,1700,169.77,288609.0
9,14,2003,3700,3550,5500,1549,169.77,262973.73000000004
10,14,2003,17000,16300,27500,1687,169.77,286401.99
11,14,2003,2400,1700,1150,676,169.77,114764.52
12,14,2003,31000,29900,50000,1672,169.77,283855.44
13,14,2003,600,600,1140,1900,169.77,322563.0
14,14,2003,17500,16900,28700,1698,169.77,288269.46
17,14,2003,2200,2100,3550,1690,169.77,286911.3
18,14,2003,250,250,625,2500,169.77,424425.0
21,14,2003,600,600,1500,2500,169.77,424425.0
22,14,2003,800,800,1600,2000,169.77,339540.0
23,14,2003,4200,4200,9200,2190,169.77,371796.30000000005
24,14,2003,3250,3250,6800,2092,169.77,355158.84
25,14,2003,600,600,1320,2200,169.77,373494.0
26,14,2003,1600,1530,2350,1536,169.77,260766.72000000003
28,14,2003,700,700,1600,2286,169.77,388094.22000000003
29,14,2003,500,500,1250,2500,169.77,424425.0
30,14,2003,300,300,780,2600,169.77,441402.0
31,14,2003,1500,300,250,833,169.77,141418.41
32,14,2003,38000,37200,35000,941,169.77,159753.57
33,14,2003,57500,56500,56000,991,169.77,168242.07
34,14,2003,30000,30000,51000,1700,169.77,288609.0
35,14,2003,10000,10000,23000,2300,169.77,390471.0
36,14,2003,1500,1440,2250,1563,169.77,265350.51
39,14,2003,300,300,480,1600,169.77,271632.0
41,14,2003,700,630,1150,1825,169.77,309830.25
42,14,2003,17500,16900,25000,1479,169.77,251089.83000000002
43,14,2003,1000,1000,2000,2000,169.77,339540.0
45,14,2003,1000,1000,2200,2200,169.77,373494.0
46,14,2003,300,290,400,1379,169.77,234112.83000000002
47,14,2003,4200,4000,6400,1600,169.77,271632.0
48,14,2003,7000,7000,11500,1643,169.77,278932.11000000004
49,14,2003,200,200,390,1950,169.77,331051.5
50,14,2003,350,340,500,1471,169.77,249731.67
52,14,2003,2000,1850,4600,2486,169.77,422048.22000000003
53,14,2003,8000,7700,13000,1688,169.77,286571.76
54,14,2003,100,100,220,2200,169.77,373494.0
56,14,2003,1000,900,1850,2056,169.77,349047.12
57,14,2003,22000,20900,50000,2392,169.77,406089.84
58,14,2003,47000,47000,97500,2074,169.77,352102.98000000004
59,14,2003,800,800,1600,2000,169.77,339540.0
60,14,2003,300,300,690,2300,169.77,390471.0
64,14,2003,4000,3900,4000,1026,169.77,174184.02000000002
65,14,2003,900,900,2050,2278,169.77,386736.06
66,14,2003,300,290,550,1897,169.77,322053.69
67,14,2003,1000,930,1950,2097,169.77,356007.69
68,14,2003,63000,60500,95000,1570,169.77,266538.9
69,14,2003,1100,1100,2500,2273,169.77,385887.21
70,14,2003,800,800,1800,2250,169.77,381982.5
72,14,2003,3200,3050,4800,1574,169.77,267217.98000000004
73,14,2003,7200,6900,10000,1449,169.77,245996.73
74,14,2003,200,200,420,2100,169.77,356517.0
75,14,2003,1500,1500,3000,2000,169.77,339540.0
77,14,2003,450,450,1050,2333,169.77,396073.41000000003
80,14,2003,1100,1100,2600,2364,169.77,401336.28
81,14,2003,139000,137500,185000,1345,169.77,228340.65000000002
82,14,2003,9500,9400,16900,1798,169.77,305246.46
83,14,2003,5500,5000,12500,2500,169.77,424425.0
84,14,2003,10780,10780,22600,2096,169.77,355837.92000000004
85,14,2003,13000,13000,25500,1962,169.77,333088.74000000005
86,14,2003,1100,1100,2530,2300,169.77,390471.0
88,14,2003,200,200,420,2100,169.77,356517.0
89,14,2003,9000,8800,10000,1136,169.77,192858.72
92,14,2003,800,800,1680,2100,169.77,356517.0
93,14,2003,6800,6550,10000,1527,169.77,259238.79
94,14,2003,14490,14490,31800,2195,169.77,372645.15
95,14,2003,200,200,440,2200,169.77,373494.0
96,14,2003,1300,1300,3100,2385,169.77,404901.45
97,14,2003,25000,24800,34000,1371,169.77,232754.67
98,14,2003,1900,1900,4700,2474,169.77,420010.98000000004
99,14,2003,7500,7500,13000,1733,169.77,294211.41000000003
100,14,2003,500,500,1050,2100,169.77,356517.0
101,14,2003,3000,3000,6600,2200,169.77,373494.0
102,14,2003,1700,1700,3400,2000,169.77,339540.0
103,14,2003,75000,74000,74000,1000,169.77,169770.0
106,14,2003,300,300,540,1800,169.77,305586.0
107,14,2003,500,500,1150,2300,169.77,390471.0
110,14,2003,500,500,1100,2200,169.77,373494.0
111,14,2003,42000,40400,65000,1609,169.77,273159.93
112,14,2003,1000,1000,1800,1800,169.77,305586.0
114,14,2003,5000,4900,5500,1122,169.77,190481.94
115,14,2003,24840,24840,49600,1997,169.77,339030.69
116,14,2003,141000,138000,172000,1246,169.77,211533.42
118,14,2003,7500,7500,14000,1867,169.77,316960.59
119,14,2003,5000,4700,11500,2447,169.77,415427.19
120,14,2003,700,700,1330,1900,169.77,322563.0
139,14,2003,42000,42000,75600,1800,169.77,305586.0
140,14,2003,23000,20300,36540,1800,169.77,305586.0
