Id_Departamento,Id_Cultivo,Campaña,Sup_Sembrada_(Ha),Sup_Cosechada_(Ha),Producción_(Tn),Rendimiento_(Kg/Ha)
135,2,2009,300,260,910,3500
135,2,2018,400,400,1400,3500
137,2,2002,230,230,700,3043
137,2,2003,400,310,1085,3500
137,2,2004,400,350,1050,3000
137,2,2005,500,500,1750,3500
137,2,2010,500,500,1600,3200
137,2,2011,500,500,1500,3000
137,2,2012,60,60,110,1833
138,2,2002,400,350,425,1214
138,2,2006,1500,1500,1950,1300
138,2,2007,200,200,280,1400
138,2,2008,770,755,997,1321
138,2,2009,120,120,156,1300
138,2,2010,3000,2500,2750,1100
138,2,2011,2300,2300,3135,1363
138,2,2012,420,350,455,1300
139,2,2002,12000,12000,16180,1348
139,2,2003,1100,1100,1680,1527
139,2,2004,14900,14400,18500,1285
139,2,2005,24050,22850,28000,1225
139,2,2006,15200,15200,21500,1414
139,2,2007,15200,14700,18110,1232
139,2,2008,29000,28260,37374,1323
139,2,2009,11800,11500,13800,1200
139,2,2010,29500,26800,44220,1650
139,2,2011,36500,35500,53775,1515
139,2,2012,47000,42000,54600,1300
139,2,2013,3400,3300,3960,1200
139,2,2014,15000,14650,27835,1900
139,2,2015,15500,15000,19500,1300
139,2,2016,12000,11620,16268,1400
139,2,2017,3800,3550,7455,2100
139,2,2018,7210,7134,14981,2100
139,2,2019,9174,5394,9170,1700
139,2,2020,12563,10063,20126,2000
140,2,2002,5500,5500,7700,1400
140,2,2003,3300,2300,2910,1265
140,2,2004,6400,6400,10700,1672
140,2,2005,10800,9330,11600,1243
140,2,2006,6100,6100,7800,1279
140,2,2007,10150,9600,11827,1232
140,2,2008,4840,4710,5710,1212
140,2,2009,11800,11600,13920,1200
140,2,2010,17000,13950,22320,1600
140,2,2011,20500,20000,26000,1300
140,2,2012,17000,13500,14850,1100
140,2,2013,1900,1900,2850,1500
140,2,2014,15500,15050,25585,1700
140,2,2015,16500,14900,19370,1300
140,2,2016,12500,12090,15717,1300
140,2,2017,4000,3660,6954,1900
140,2,2018,7940,7857,16500,2100
140,2,2019,9921,5757,9787,1700
140,2,2020,13850,12050,22895,1900
141,2,2002,2000,2000,2435,1218
141,2,2003,1100,1100,1350,1227
141,2,2004,3200,3200,4050,1266
141,2,2005,4810,4545,5400,1188
141,2,2006,4500,4500,6000,1333
141,2,2007,2850,2700,3629,1344
141,2,2008,3870,3770,4568,1212
141,2,2009,1950,1900,2470,1300
141,2,2010,5000,4000,6000,1500
141,2,2011,5200,5200,5750,1106
141,2,2012,1400,1250,1625,1300
141,2,2013,1000,700,840,1200
141,2,2014,1000,905,1448,1600
141,2,2015,400,375,280,747
141,2,2016,300,300,390,1300
141,2,2017,40,40,60,1500
141,2,2019,145,145,247,1703
141,2,2020,800,800,1040,1300
142,2,2002,5000,5000,6850,1370
142,2,2003,3300,3300,4360,1321
142,2,2004,7500,7300,10000,1370
142,2,2005,12050,11500,13400,1165
142,2,2006,5000,5000,7000,1400
142,2,2007,10130,9700,14123,1456
142,2,2008,8230,8000,15880,1985
142,2,2009,7900,7700,9240,1200
142,2,2010,11000,9300,14880,1600
142,2,2011,10200,9600,14000,1458
142,2,2012,7500,5700,5700,1000
142,2,2013,2000,2000,3000,1500
142,2,2014,10300,9850,14775,1500
142,2,2015,10300,9890,13850,1400
142,2,2016,8000,7700,10780,1400
142,2,2017,2600,2380,4284,1800
142,2,2018,5160,5106,11233,2200
142,2,2019,5159,3959,7126,1800
142,2,2020,7202,6652,11974,1800
143,2,2002,4500,4500,6370,1416
143,2,2003,3300,3300,5075,1538
143,2,2004,8500,8200,12100,1476
143,2,2005,13230,12200,13800,1131
143,2,2006,3700,3700,5040,1362
143,2,2007,5000,4700,5264,1120
143,2,2008,4840,4710,7786,1653
143,2,2009,1970,1920,2784,1450
143,2,2010,5000,4300,6665,1550
143,2,2011,9500,9200,16560,1800
143,2,2012,16000,13000,20800,1600
143,2,2013,9500,5500,5775,1050
143,2,2014,11000,10500,19950,1900
143,2,2015,12500,12100,16940,1400
143,2,2016,8000,7800,14040,1800
143,2,2017,8765,8415,23562,2800
143,2,2018,12670,12670,38010,3000
143,2,2019,18390,18140,41722,2300
143,2,2020,16000,15890,44492,2800
144,2,2006,300,300,420,1400
144,2,2007,150,100,112,1120
144,2,2008,1160,1130,1370,1212
144,2,2010,2400,2100,2520,1200
144,2,2011,2000,1870,2057,1100
144,2,2012,130,105,126,1200
145,2,2002,5000,5000,6900,1380
145,2,2003,3300,3300,4100,1242
145,2,2004,6400,6300,8650,1373
145,2,2005,10220,9770,12000,1228
145,2,2006,3000,3000,4000,1333
145,2,2007,5000,4300,5298,1232
145,2,2008,4840,4710,6229,1323
145,2,2009,3500,3400,4080,1200
145,2,2010,11000,8900,14240,1600
145,2,2011,9000,8975,13463,1500
145,2,2012,3800,3000,4200,1400
145,2,2013,1200,1200,1200,1000
145,2,2014,4000,4000,7200,1800
145,2,2015,4200,3900,5070,1300
145,2,2016,3200,2900,4640,1600
145,2,2017,1700,1560,2652,1700
145,2,2018,3300,3265,6857,2100
145,2,2019,3600,2340,4212,1800
145,2,2020,5025,4425,7080,1600
146,2,2002,5600,4500,4570,1016
146,2,2003,4400,3900,5800,1487
146,2,2004,11700,9200,11300,1228
146,2,2005,18040,17050,21000,1232
146,2,2006,15200,15200,21500,1414
146,2,2007,16200,15700,19342,1232
146,2,2008,9670,9420,15572,1653
146,2,2009,9800,9550,11938,1250
146,2,2010,25000,22000,30800,1400
146,2,2011,13000,12800,14080,1100
146,2,2012,5000,3800,4560,1200
146,2,2013,3000,3000,2100,700
146,2,2014,10000,9750,12675,1300
146,2,2015,4500,3500,2975,850
146,2,2016,4000,3830,5554,1450
